season,week,nd_home,neutral_site,attendance,venue_capacity,attendance_rate,nd_points,opponent_points,point_margin,win
2012,1,0,1,80120,64767,1.237,14,42,-28,0
2012,2,1,0,80795,80795,1.0,20,17,3,1
2012,3,0,0,79219,75005,1.056,20,3,17,1
2012,4,1,0,80795,80795,1.0,13,6,7,1
2012,7,1,0,80975,80795,1.002,20,13,7,1
2012,8,1,0,80795,80795,1.0,17,14,3,1
2012,9,0,0,86031,86112,0.999,30,13,17,1
2012,10,1,0,80795,80795,1.0,29,26,3,1
2012,11,0,0,44500,44500,1.0,21,6,15,1
2012,12,1,0,80795,80795,1.0,38,0,38,1
2012,13,0,0,93607,77500,1.208,22,13,9,1
2013,1,1,0,80795,80795,1.0,28,6,22,1
2013,2,0,0,115109,107601,1.07,30,41,-11,0
2013,3,0,0,61127,57282,1.067,31,24,7,1
2013,4,1,0,80795,80795,1.0,17,13,4,1
2013,5,1,0,80795,80795,1.0,21,35,-14,0
2013,8,1,0,80975,80795,1.002,14,10,4,1
2013,9,0,0,44672,46692,0.957,45,10,35,1
2013,10,1,0,80795,80795,1.0,38,34,4,1
2013,11,0,0,65500,68400,0.958,21,28,-7,0
2013,13,1,0,80795,80795,1.0,23,13,10,1
2013,14,0,0,50537,50424,1.002,20,27,-7,0
2014,1,0,1,60149,69143,0.87,31,28,3,1
2014,1,1,0,80795,80795,1.0,48,17,31,1
2014,2,1,0,80795,80795,1.0,31,0,31,1
2014,3,1,1,56832,63000,0.902,30,14,16,1
2014,5,0,1,76802,82500,0.931,31,15,16,1
2014,6,1,0,80795,80795,1.0,17,14,3,1
2014,7,1,0,80795,80795,1.0,50,43,7,1
2014,8,0,0,82431,79560,1.036,27,31,-4,0
2014,10,0,1,36807,67617,0.544,49,39,10,1
2014,11,0,0,65870,53599,1.229,31,55,-24,0
2014,12,1,0,80795,80795,1.0,40,43,-3,0
2014,13,1,0,80795,80795,1.0,28,31,-3,0
2014,14,0,0,79586,77500,1.027,14,49,-35,0
2015,1,0,1,71123,65000,1.094,28,44,-16,0
2015,1,1,0,0,80795,0.0,38,3,35,1
2015,2,0,0,58200,61500,0.946,34,27,7,1
2015,3,1,0,80795,80795,1.0,30,22,8,1
2015,4,1,0,80795,80795,1.0,62,27,35,1
2015,5,0,0,82415,81500,1.011,22,24,-2,0
2015,6,1,0,80795,80795,1.0,41,24,17,1
2015,7,1,0,80795,80795,1.0,41,31,10,1
2015,9,0,0,69280,69879,0.991,24,20,4,1
2015,10,0,0,68400,68400,1.0,42,30,12,1
2015,11,1,0,80795,80795,1.0,28,7,21,1
2015,12,1,1,38686,0,inf,19,16,3,1
2015,13,0,0,51424,50424,1.02,36,38,-2,0
2016,1,0,0,102315,100119,1.022,47,50,-3,0
2016,2,1,0,80795,80795,1.0,39,10,29,1
2016,3,1,0,80795,80795,1.0,28,36,-8,0
2016,4,1,0,80795,80795,1.0,35,38,-3,0
2016,5,0,1,62794,82500,0.761,50,33,17,1
2016,6,0,0,58200,58000,1.003,3,10,-7,0
2016,7,1,0,80795,80795,1.0,10,17,-7,0
2016,9,1,0,80795,80795,1.0,30,27,3,1
2016,10,0,1,50867,67858,0.75,27,28,-1,0
2016,11,1,1,45762,36582,1.251,44,6,38,1
2016,12,1,0,80795,80795,1.0,31,34,-3,0
2016,13,0,0,72402,77500,0.934,27,45,-18,0
2017,1,0,1,57726,65000,0.888,21,17,4,1
2017,1,1,0,77622,80795,0.961,49,16,33,1
2017,2,1,0,77622,80795,0.961,19,20,-1,0
2017,3,0,0,44500,44500,1.0,49,20,29,1
2017,4,0,0,74023,75005,0.987,38,18,20,1
2017,5,1,0,77622,80795,0.961,52,17,35,1
2017,6,0,0,57000,51000,1.118,33,10,23,1
2017,8,1,0,77622,80795,0.961,49,14,35,1
2017,9,1,0,77622,80795,0.961,35,14,21,1
2017,10,1,0,77622,80795,0.961,48,37,11,1
2017,11,0,0,65303,64767,1.008,8,41,-33,0
2017,12,1,0,77622,80795,0.961,24,17,7,1
2017,13,0,0,47352,50424,0.939,20,38,-18,0
2018,1,0,1,72183,100000,0.722,3,30,-27,0
2018,1,1,0,77622,80795,0.961,24,17,7,1
2018,2,1,0,77622,80795,0.961,24,16,8,1
2018,3,1,0,77622,80795,0.961,22,17,5,1
2018,4,0,0,31092,31500,0.987,56,27,29,1
2018,5,1,0,77622,80795,0.961,38,17,21,1
2018,6,0,0,65632,65632,1.0,45,23,22,1
2018,7,1,0,77622,80795,0.961,19,14,5,1
2018,9,0,1,63626,54000,1.178,44,22,22,1
2018,10,0,0,47330,47130,1.004,31,21,10,1
2018,11,1,0,77622,80795,0.961,42,13,29,1
2018,12,1,1,48104,54251,0.887,36,3,33,1
2018,13,0,0,59821,77500,0.772,24,17,7,1
2019,1,0,1,46948,65000,0.722,33,9,24,1
2019,1,0,0,58187,60000,0.97,35,17,18,1
